Fecha,Hora,Auto_Nombre,Cant_Veh,dia,mes,anio
2021-03-02,7,AU 9 de Julio Sur,2811.5,1,3,2021
2021-03-02,7,AU Dellepiane,2303.0,1,3,2021
2021-03-02,8,AU 4  Lugones,7235.0,1,3,2021
2021-03-02,8,AU 5 Cantilo,4833.5,1,3,2021
2021-03-02,8,AU 9 de Julio Sur,3130.5,1,3,2021
2021-03-02,8,AU Dellepiane,2837.0,1,3,2021
2021-03-02,9,AU 4  Lugones,7235.0,1,3,2021
2021-03-02,9,AU 5 Cantilo,4629.5,1,3,2021
2021-03-02,9,AU 9 de Julio Sur,2964.5,1,3,2021
2021-03-02,9,AU Dellepiane,3131.0,1,3,2021
2021-03-02,10,AU 4  Lugones,7187.5,1,3,2021
2021-03-02,10,AU 5 Cantilo,4815.5,1,3,2021
2021-03-02,10,AU 9 de Julio Sur,3261.5,1,3,2021
2021-03-02,10,AU Dellepiane,3223.0,1,3,2021
2021-03-02,11,AU 4  Lugones,6939.0,1,3,2021
2021-03-02,11,AU 5 Cantilo,5310.0,1,3,2021
2021-03-02,11,AU 9 de Julio Sur,3264.0,1,3,2021
2021-03-02,11,AU Dellepiane,3484.0,1,3,2021
2021-03-02,12,AU 4  Lugones,6016.0,1,3,2021
2021-03-02,12,AU 5 Cantilo,5895.5,1,3,2021
2021-03-02,12,AU 9 de Julio Sur,3270.5,1,3,2021
2021-03-02,12,AU Dellepiane,3626.0,1,3,2021
2021-03-02,13,AU 4  Lugones,6980.0,1,3,2021
2021-03-02,13,AU 5 Cantilo,6066.0,1,3,2021
2021-03-02,13,AU 9 de Julio Sur,3329.5,1,3,2021
2021-03-02,13,AU Dellepiane,3583.0,1,3,2021
2021-03-02,14,AU 4  Lugones,6230.5,1,3,2021
2021-03-02,14,AU 5 Cantilo,6232.5,1,3,2021
2021-03-02,14,AU 9 de Julio Sur,3473.5,1,3,2021
2021-03-02,14,AU Dellepiane,3511.0,1,3,2021
2021-03-02,15,AU 4  Lugones,5923.0,1,3,2021
2021-03-02,15,AU 5 Cantilo,6667.5,1,3,2021
2021-03-02,15,AU 9 de Julio Sur,3546.5,1,3,2021
2021-03-02,15,AU Dellepiane,3653.0,1,3,2021
2021-03-02,16,AU 4  Lugones,6231.0,1,3,2021
2021-03-02,16,AU 5 Cantilo,6607.5,1,3,2021
2021-03-02,16,AU 9 de Julio Sur,3670.5,1,3,2021
2021-03-02,16,AU Dellepiane,3550.0,1,3,2021
2021-03-02,17,AU 4  Lugones,6509.5,1,3,2021
2021-03-02,17,AU 5 Cantilo,6004.0,1,3,2021
2021-03-02,17,AU 9 de Julio Sur,3767.5,1,3,2021
2021-03-02,17,AU Dellepiane,3632.0,1,3,2021
2021-03-02,18,AU 4  Lugones,5881.0,1,3,2021
2021-03-02,18,AU 5 Cantilo,6042.5,1,3,2021
2021-03-02,18,AU 9 de Julio Sur,3386.5,1,3,2021
2021-03-02,18,AU Dellepiane,3446.0,1,3,2021
2021-03-02,19,AU 4  Lugones,5004.0,1,3,2021
2021-03-02,19,AU 5 Cantilo,5593.0,1,3,2021
2021-03-02,19,AU 9 de Julio Sur,2779.5,1,3,2021
2021-03-02,19,AU Dellepiane,3075.0,1,3,2021
2021-03-02,20,AU 4  Lugones,4525.5,1,3,2021
2021-03-02,20,AU 5 Cantilo,4904.0,1,3,2021
2021-03-02,20,AU 9 de Julio Sur,2437.5,1,3,2021
2021-03-02,20,AU Dellepiane,2580.0,1,3,2021
2021-03-02,21,AU 4  Lugones,3198.5,1,3,2021
2021-03-02,21,AU 5 Cantilo,3117.5,1,3,2021
2021-03-02,21,AU 9 de Julio Sur,1931.0,1,3,2021
2021-03-02,21,AU Dellepiane,2029.0,1,3,2021
2021-03-02,22,AU 4  Lugones,2100.5,1,3,2021
2021-03-02,22,AU 5 Cantilo,2258.0,1,3,2021
2021-03-02,22,AU 9 de Julio Sur,1373.0,1,3,2021
2021-03-02,22,AU Dellepiane,1454.0,1,3,2021
2021-03-02,23,AU 4  Lugones,1706.0,1,3,2021
2021-03-02,23,AU 5 Cantilo,1759.5,1,3,2021
2021-03-02,23,AU 9 de Julio Sur,992.0,1,3,2021
2021-03-02,23,AU Dellepiane,1008.0,1,3,2021
2021-03-03,0,AU 4  Lugones,1276.5,2,3,2021
2021-03-03,0,AU 5 Cantilo,1481.0,2,3,2021
2021-03-03,0,AU 9 de Julio Sur,812.5,2,3,2021
2021-03-03,0,AU Dellepiane,856.0,2,3,2021
2021-03-03,1,AU 4  Lugones,741.5,2,3,2021
2021-03-03,1,AU 5 Cantilo,941.0,2,3,2021
2021-03-03,1,AU 9 de Julio Sur,559.0,2,3,2021
2021-03-03,1,AU Dellepiane,542.0,2,3,2021
2021-03-03,2,AU 4  Lugones,449.5,2,3,2021
2021-03-03,2,AU 5 Cantilo,560.5,2,3,2021
2021-03-03,2,AU 9 de Julio Sur,367.5,2,3,2021
2021-03-03,2,AU Dellepiane,455.0,2,3,2021
2021-03-03,3,AU 4  Lugones,363.0,2,3,2021
2021-03-03,3,AU 5 Cantilo,372.0,2,3,2021
2021-03-03,3,AU 9 de Julio Sur,293.0,2,3,2021
2021-03-03,3,AU Dellepiane,470.0,2,3,2021
2021-03-03,4,AU 4  Lugones,650.0,2,3,2021
2021-03-03,4,AU 5 Cantilo,436.0,2,3,2021
2021-03-03,4,AU 9 de Julio Sur,512.5,2,3,2021
2021-03-03,4,AU Dellepiane,639.0,2,3,2021
2021-03-03,5,AU 4  Lugones,1879.0,2,3,2021
2021-03-03,5,AU 5 Cantilo,919.5,2,3,2021
2021-03-03,5,AU 9 de Julio Sur,1006.5,2,3,2021
2021-03-03,5,AU Dellepiane,1279.0,2,3,2021
2021-03-03,6,AU 4  Lugones,4284.0,2,3,2021
2021-03-03,6,AU 5 Cantilo,2098.5,2,3,2021
2021-03-03,6,AU 9 de Julio Sur,1853.0,2,3,2021
2021-03-03,6,AU Dellepiane,2115.0,2,3,2021
2021-03-03,7,AU 4  Lugones,7207.5,2,3,2021
2021-03-03,7,AU 5 Cantilo,4386.0,2,3,2021
2021-03-03,7,AU 9 de Julio Sur,2717.0,2,3,2021
2021-03-03,7,AU Dellepiane,2496.0,2,3,2021
2021-03-03,8,AU 4  Lugones,7235.0,2,3,2021
2021-03-03,8,AU 5 Cantilo,4957.0,2,3,2021
2021-03-03,8,AU 9 de Julio Sur,3127.5,2,3,2021
2021-03-03,8,AU Dellepiane,2877.0,2,3,2021
2021-03-03,9,AU 4  Lugones,7235.0,2,3,2021
2021-03-03,9,AU 5 Cantilo,4935.5,2,3,2021
2021-03-03,9,AU 9 de Julio Sur,2965.5,2,3,2021
2021-03-03,9,AU Dellepiane,3095.0,2,3,2021
2021-03-03,10,AU 4  Lugones,7235.0,2,3,2021
2021-03-03,10,AU 5 Cantilo,4802.0,2,3,2021
2021-03-03,10,AU 9 de Julio Sur,3180.5,2,3,2021
2021-03-03,10,AU Dellepiane,3355.0,2,3,2021
2021-03-03,11,AU 4  Lugones,7107.0,2,3,2021
2021-03-03,11,AU 5 Cantilo,5474.5,2,3,2021
2021-03-03,11,AU 9 de Julio Sur,3102.0,2,3,2021
2021-03-03,11,AU Dellepiane,3346.0,2,3,2021
2021-03-03,12,AU 4  Lugones,7045.0,2,3,2021
2021-03-03,12,AU 5 Cantilo,6050.0,2,3,2021
2021-03-03,12,AU 9 de Julio Sur,3245.0,2,3,2021
2021-03-03,12,AU Dellepiane,3798.0,2,3,2021
2021-03-03,13,AU 4  Lugones,7038.5,2,3,2021
2021-03-03,13,AU 5 Cantilo,6173.0,2,3,2021
2021-03-03,13,AU 9 de Julio Sur,3296.5,2,3,2021
2021-03-03,13,AU Dellepiane,3591.0,2,3,2021
2021-03-03,14,AU 4  Lugones,6321.5,2,3,2021
2021-03-03,14,AU 5 Cantilo,6505.5,2,3,2021
2021-03-03,14,AU 9 de Julio Sur,3596.5,2,3,2021
2021-03-03,14,AU Dellepiane,3830.0,2,3,2021
2021-03-03,15,AU 4  Lugones,6072.0,2,3,2021
